date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:11:33	590186/590186	---M--	200	added ('OK')	image/webp	etag:%229016a-6658c1f3-d4844acc134a34cc;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5334-773x1030.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5334-773x1030.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:33	208098/208098	---M--	200	added ('OK')	image/webp	etag:%2232ce2-6658c1f3-bc610c9026b592a8;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5334-495x400.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5334-495x400.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:33	631222/631222	---M--	200	added ('OK')	image/webp	etag:%229a1b6-6658c1f3-456529e618a9156e;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5337-773x1030.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5337-773x1030.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:34	201572/201572	---M--	200	added ('OK')	image/webp	etag:%2231364-6658c1f3-610f11227bdca04b;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5337-495x400.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5337-495x400.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:34	470714/470714	---M--	200	added ('OK')	image/webp	etag:%2272eba-6658c1f3-49a15d2e58a3314a;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5351-773x1030.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5351-773x1030.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:34	162928/162928	---M--	200	added ('OK')	image/webp	etag:%2227c70-6658c1f3-e502a09ed7386944;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5351-495x400.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5351-495x400.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:35	585550/585550	---M--	200	added ('OK')	image/webp	etag:%228ef4e-6658c1f3-b8f89166e3bfad94;;;%22	https://www.peintre47.fr/wp-content/uploads/2023/12/IMG_5330-773x1030.webp	./website_downloaded/www.peintre47.fr/wp-content/uploads/2023/12/IMG_5330-773x1030.webp	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Oct%202024%2018:11:35%20GMT	https://www.peintre47.fr/?p=7622	./website_downloaded/www.peintre47.fr/index6ef3.html	(from https://www.peintre47.fr/2024/04/09/travaux-de-peinture-de-murs-interieurs/)
19:11:35	4243/4243	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Oct%202024%2018:11:35%20GMT	https://www.peintre47.fr/wp-json/wp/v2/pages/65	./website_downloaded/www.peintre47.fr/wp-json/wp/v2/pages/65.json	(from https://www.peintre47.fr/mentions-legales/)
19:11:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Oct%202024%2018:11:35%20GMT	https://www.peintre47.fr/?p=7596	./website_downloaded/www.peintre47.fr/indexebd7.html	(from https://www.peintre47.fr/2023/12/08/restauration-de-volets-en-bois/)
19:11:35	2097/2097	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Oct%202024%2018:11:36%20GMT	https://www.peintre47.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.peintre47.fr%2Fmentions-legales%2F	./website_downloaded/www.peintre47.fr/wp-json/oembed/1.0/embedc2db.json	(from https://www.peintre47.fr/mentions-legales/)
19:11:35	737/737	---M-Z	200	added ('OK')	application/rss+xml	etag:%2243f916334fb142ffdcc9ae30b1df2fdb%22	https://www.peintre47.fr/mentions-legales/feed/	./website_downloaded/www.peintre47.fr/mentions-legales/feed/index.html	(from https://www.peintre47.fr/mentions-legales/)
19:11:36	2238/2238	---M-Z	200	added ('OK')	text/xml	date:Tue,%2029%20Oct%202024%2018:11:36%20GMT	https://www.peintre47.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.peintre47.fr%2Fmentions-legales%2F&format=xml	./website_downloaded/www.peintre47.fr/wp-json/oembed/1.0/embed852d	(from https://www.peintre47.fr/mentions-legales/)
19:11:36	71402/71402	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2018:11:37%20GMT	https://www.peintre47.fr/GET	./website_downloaded/www.peintre47.fr/GET	(from https://www.peintre47.fr/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17)
19:11:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Oct%202024%2018:11:37%20GMT	https://www.peintre47.fr/?p=65	./website_downloaded/www.peintre47.fr/index7665.html	(from https://www.peintre47.fr/mentions-legales/)
19:11:37	71421/71421	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2018:11:37%20GMT	https://www.peintre47.fr/t,window.location.href	./website_downloaded/www.peintre47.fr/t,window.location.href	(from https://www.peintre47.fr/wp-content/themes/enfold/config-lottie-animations/assets/lottie-player/dotlottie-player.js?ver=5.6.6)
19:11:38	71406/71406	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2018:11:38%20GMT	https://www.peintre47.fr/images/	./website_downloaded/www.peintre47.fr/images/index.html	(from https://www.peintre47.fr/wp-content/themes/enfold/config-lottie-animations/assets/lottie-player/dotlottie-player.js?ver=5.6.6)
19:11:38	71412/71412	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2018:11:38%20GMT	https://www.peintre47.fr/giItT1WQy@!-/	./website_downloaded/www.peintre47.fr/giItT1WQy@!-/index.html	(from https://www.peintre47.fr/wp-content/themes/enfold/config-lottie-animations/assets/lottie-player/dotlottie-player.js?ver=5.6.6)
